x,y,label
-74,-64,1
88,84,0
29,-11,1
-98,-93,1
31,8,1
-9,0,1
-46,-14,1
68,26,1
-62,-85,1
74,-89,1
85,-100,1
100,-10,1
98,10,0
-27,-25,1
49,62,0
-94,-64,1
88,26,0
81,27,0
12,9,1
-85,-78,1
-49,-5,1
76,5,1
-100,94,1
-47,42,1
0,-20,1
54,-80,1
-52,92,1
65,12,1
-92,10,1
37,47,1
-19,20,1
89,-49,1
99,40,0
-70,68,1
94,-5,1
62,97,0
-60,-12,1
16,-35,1
40,42,1
-8,64,1
77,-12,1
-61,72,1
97,-24,1
-42,-81,1
76,15,1
-14,-21,1
20,-25,1
-22,-45,1
54,-94,1
-97,33,1
-56,75,1
-91,-58,1
-66,55,1
-35,-16,1
-50,77,1
-88,54,1
-87,74,1
31,51,1
64,31,1
57,-80,1
93,36,0
-4,50,1
83,67,0
86,-72,1
-74,69,1
100,-55,1
-73,34,1
26,-85,1
-15,7,1
-36,-8,1
-13,37,1
-38,66,1
-53,-2,1
-57,-97,1
66,14,1
-50,72,1
33,50,1
-33,-74,1
-93,-51,1
-98,59,1
-100,-75,1
-72,-43,1
-11,-30,1
-89,37,1
-95,60,1
-73,85,1
74,18,1
-52,87,1
49,22,1
-84,-20,1
-91,37,1
99,-69,1
17,86,0
-58,26,1
66,85,0
-21,6,1
-62,-72,1
41,-84,1
-17,-8,1
-11,-23,1
-48,-63,1
91,-95,1
-55,84,1
-59,-70,1
-71,27,1
-41,-67,1
-56,96,1
44,66,0
-75,-48,1
-30,-72,1
33,84,0
44,22,1
11,-71,1
-91,-5,1
57,-26,1
32,-14,1
-32,31,1
96,83,0
49,36,1
21,-22,1
-11,82,1
60,-30,1
71,41,0
65,0,1
-43,27,1
24,36,1
-92,91,1
-28,-81,1
-31,-26,1
50,-42,1
81,-46,1
56,71,0
-36,9,1
-64,-81,1
78,23,0
68,-24,1
13,71,1
33,-53,1
-3,14,1
94,32,0
47,83,0
-37,83,1
-18,26,1
17,83,0
75,-52,1
-95,93,1
-74,-8,1
45,27,1
-37,74,1
-55,-76,1
-27,9,1
18,69,1
-72,-46,1
32,-78,1
-52,-87,1
68,77,0
-76,-23,1
-48,99,1
-44,75,1
70,-56,1
-32,71,1
-29,-25,1
7,63,1
-55,-82,1
81,69,0
36,1,1
-34,86,1
-45,100,1
-1,98,1
92,-48,1
15,-68,1
-54,-22,1
31,-20,1
-72,21,1
13,24,1
-8,95,1
-100,44,1
-23,-97,1
49,14,1
94,7,0
72,37,0
-7,83,1
70,34,0
60,-49,1
81,38,0
-61,-62,1
-32,-76,1
-36,61,1
77,-40,1
-89,-49,1
-68,56,1
-16,53,1
5,46,1
-89,-40,1
-71,-32,1
-99,-67,1
-92,32,1
16,21,1
24,-56,1
5,-66,1
-86,-95,1
46,-72,1
-88,40,1
-54,-63,1
59,18,1
-26,73,1
64,-18,1
3,84,1
21,-25,1
-99,-55,1
-46,-31,1
-6,-57,1
26,-31,1
-93,-84,1
91,75,0
4,35,1
84,92,0
-73,68,1
-10,-5,1
65,-40,1
-80,-34,1
60,3,1
-59,-63,1
43,66,0
73,-53,1
-59,-54,1
-6,90,1
-7,-27,1
5,-58,1
-88,-88,1
95,-30,1
-92,2,1
10,-26,1
-100,-9,1
-59,6,1
46,-71,1
66,64,0
41,16,1
-43,-82,1
50,8,1
94,44,0
71,-41,1
61,-20,1
-52,-25,1
-88,-26,1
13,23,1
-78,25,1
-47,94,1
6,84,1
86,75,0
-93,-42,1
36,46,1
-81,1,1
41,93,0
77,-31,1
97,14,0
-100,-99,1
3,-33,1
-61,71,1
25,100,0
87,29,0
68,27,1
63,94,0
-44,70,1
-27,-75,1
57,-62,1
93,40,0
-96,-86,1
-56,-70,1
1,39,1
8,23,1
5,-93,1
-84,-39,1
3,60,1
75,25,0
40,-77,1
-22,68,1
-1,-3,1
-1,-39,1
-38,30,1
-47,52,1
-47,-13,1
62,12,1
9,5,1
100,-51,1
90,44,0
24,-7,1
20,92,0
-47,-36,1
16,9,1
97,36,0
43,-69,1
34,-43,1
40,91,0
59,55,0
-58,-90,1
-70,-21,1
22,16,1
-96,-58,1
1,-49,1
-45,35,1
-27,91,1
27,-91,1
-74,69,1
27,97,0
47,95,0
5,-13,1
-48,44,1
39,32,1
21,-16,1
-99,3,1
-60,24,1
75,-40,1
30,55,1
39,-24,1
87,-94,1
56,25,1
-69,21,1
72,-91,1
26,11,1
41,-16,1
-15,-28,1
0,44,1
39,1,1
99,93,0
-88,-40,1
66,61,0
71,54,0
53,5,1
-89,69,1
69,-33,1
-63,-50,1
-69,55,1
23,42,1
-71,76,1
-45,-27,1
-91,-62,1
89,3,1
-37,-85,1
65,-13,1
82,76,0
13,41,1
-37,-37,1
-37,96,1
-31,-48,1
77,-95,1
87,-50,1
47,-56,1
-41,34,1
100,89,0
-87,-73,1
-37,-37,1
