x,y,label
40,-100,1
45,-95,1
13,13,1
25,16,1
-90,-42,1
70,41,0
-85,28,1
31,89,0
-46,94,1
-51,-12,1
-4,-12,1
69,-3,1
-27,93,1
23,-9,1
-15,25,1
99,-10,1
38,-29,1
-20,82,1
-38,-21,1
-52,-4,1
56,-92,1
-100,-45,1
-21,13,1
-45,-93,1
42,-14,1
-21,17,1
93,-76,1
-82,-21,1
72,44,0
-31,51,1
-21,-13,1
53,-98,1
80,53,0
64,-62,1
-82,-49,1
95,-61,1
77,-47,0
97,74,0
95,5,0
-82,66,1
-13,-41,1
-3,-50,1
-24,49,1
38,87,0
-70,20,1
94,35,0
-32,-69,1
-82,-68,1
62,89,0
-88,-75,1
-26,-15,1
-49,4,1
-72,-85,1
47,73,0
-30,35,1
60,67,0
55,-56,1
-94,29,1
-37,84,1
-50,-64,1
-99,-79,1
18,-49,1
36,53,1
92,61,1
-15,11,1
88,-9,1
72,-93,1
77,54,0
-17,-19,1
94,-22,1
-92,23,1
26,-17,1
-50,-49,1
94,-2,1
24,-47,1
14,-39,1
34,95,0
54,41,1
37,-21,1
37,-10,1
-1,-38,1
-20,-81,1
87,-94,1
82,4,1
26,-81,1
-53,-82,1
4,-88,1
-38,68,1
-57,6,1
-23,40,1
-38,64,1
-50,-55,1
82,-99,1
-67,46,1
23,19,1
60,98,0
72,24,1
-84,-73,1
-18,-31,1
-27,42,1
-47,85,1
-6,-1,1
81,-95,1
-57,-80,1
-47,-52,1
-60,100,1
9,-25,1
71,15,1
-36,29,1
-33,-30,1
-33,84,1
62,98,0
-21,-53,1
-18,7,1
-86,67,1
-48,44,1
70,98,0
-5,10,1
69,-65,1
-70,-75,1
-71,-23,1
-71,-80,1
-73,-31,1
-77,-42,1
-21,20,1
-40,3,1
68,-32,1
-17,-77,1
-68,2,1
68,-81,1
19,-25,1
-32,79,1
89,-89,1
85,50,0
-83,46,1
-36,44,1
-13,61,1
16,76,1
-64,6,1
36,-20,1
62,-53,1
-31,-74,1
-57,-88,1
17,-86,1
-82,20,1
34,-62,1
-62,50,1
-66,-100,1
-73,-36,1
-41,-14,1
-57,-1,1
89,79,0
37,-97,1
37,100,0
-59,-15,1
67,8,1
-1,-89,1
-1,93,1
18,-74,1
-84,26,1
76,-49,1
90,52,0
35,40,1
94,-75,1
14,-100,1
-33,29,1
-72,-4,1
-94,96,1
-23,-34,1
0,24,1
-19,-9,1
72,24,1
90,78,0
-47,82,1
-6,-16,1
76,-61,1
-10,30,1
-98,-98,1
-51,49,1
50,1,1
-17,-13,1
-19,-56,1
41,21,1
67,-89,1
-32,43,1
-45,13,1
-9,42,0
-33,-63,1
-38,-66,1
-83,-65,1
-93,-11,1
100,0,0
18,43,1
-83,-11,1
34,-62,1
-56,62,1
79,-91,1
-19,-18,1
-93,-97,1
-15,-56,1
86,-100,1
47,-6,1
-29,25,1
-96,-97,1
38,99,0
100,60,0
82,13,1
-52,60,1
-61,6,1
-3,14,1
-58,77,1
-94,-23,1
-39,41,1
16,36,1
-85,-1,1
94,-76,1
38,70,0
22,1,1
77,-66,1
54,-31,1
-55,-61,1
-99,-87,1
63,93,0
-32,-69,1
27,-52,1
89,82,0
89,-67,1
42,78,0
3,-96,1
70,-76,1
57,-7,1
-71,-26,1
71,98,0
-86,-95,1
-84,95,1
95,-34,1
-12,-62,1
51,-38,1
42,-89,1
-93,-37,1
51,-98,1
1,50,1
64,18,1
92,85,0
0,-86,1
-78,-97,1
9,-79,1
-55,-54,1
-56,-50,1
4,57,1
-36,90,1
-96,-65,1
-38,89,1
61,18,1
72,39,0
8,23,1
-94,6,1
7,-74,1
-85,59,1
47,-89,1
-28,92,1
98,-99,1
-41,-90,1
-41,-70,1
83,80,0
-68,-79,1
-10,73,1
-30,-3,1
22,16,1
-52,46,1
-32,42,1
81,-6,1
-37,5,1
-38,28,1
-1,-65,1
10,65,1
-28,74,1
11,-24,1
55,-65,1
-64,14,1
5,47,1
-100,22,1
-5,-15,1
-8,-50,1
-100,-66,1
87,-45,1
-3,-29,1
66,85,0
46,61,0
48,-24,1
85,47,0
28,-67,1
-11,98,1
16,-92,1
9,-97,1
-1,16,1
-76,-4,1
28,74,0
-35,-42,1
3,-79,1
-21,-61,1
-92,57,1
54,-91,1
-25,57,1
-64,-20,1
26,52,1
26,27,1
-28,57,1
59,68,0
34,8,1
-74,-50,1
-28,82,1
32,92,1
-14,34,1
-60,15,1
91,-61,1
-94,-72,1
-47,-98,1
34,96,0
-90,59,1
-96,-69,1
-77,0,1
100,-92,1
-24,92,1
69,7,1
87,56,0
83,61,0
-45,35,1
-50,12,1
0,-67,1
92,-31,1
32,-43,1
72,53,0
-45,1,1
79,-87,1
70,-23,1
-35,-18,1
26,-15,1
-100,27,1
-64,-40,1
-31,-14,1
25,69,1
-65,-96,1
39,0,1
62,-5,1
-84,26,1
-87,11,1
-75,11,1
22,3,1
80,-94,1
28,56,1
35,4,1
-44,-59,1
96,-5,1
-92,-31,1
-36,93,1
85,42,0
-57,-15,1
70,-4,1
34,-16,1
22,-50,1
47,-70,1
30,91,0
-57,12,1
-61,29,1
0,-19,1
-55,-50,1
40,-93,1
-50,0,1
-86,-4,1
7,67,1
98,50,0
19,-31,1
-1,-13,1
-11,74,1
-47,-75,1
-67,-86,1
73,74,0
-82,4,1
77,86,0
63,-13,1
-75,-59,1
39,-40,1
-79,-72,1
83,96,0
34,-57,1
78,-61,1
-32,44,1
70,100,0
-86,-66,1
42,-10,1
-90,-100,1
-89,-20,1
-68,-67,1
34,60,1
-1,-64,1
-38,-80,1
69,70,0
